Video ID,Title,Published Date,Views,Likes,Comments,Date,Time,Year,Month,Day,MonthName,Video Category
P4RIgO9lBeg,The Hidden Layers of Design Systems with Atlassian's Design Architect | Figma,2025-01-17 13:00:37+00:00,6597,120,2,2025-01-17,00:00:00,2025,1,17,Jan,Design & Development
R8PEC154yeg,We listen and we don't judge,2024-12-19 23:22:22+00:00,7034,107,4,2024-12-19,00:00:00,2024,12,19,Dec,Other
1odqpkfkDL8,"A Guide to Auto Layout: Best Practices, Tips & Tricks | Figma",2024-12-05 00:07:39+00:00,184913,0,112,2024-12-05,00:00:00,2024,12,5,Dec,Other
6PAPWQUxfQI,Variables in Dev Mode Updates,2024-12-03 21:24:05+00:00,4635,95,2,2024-12-03,00:00:00,2024,12,3,Dec,Design & Development
MGlAf4M3de4,Figma AI: Rename your Layers and more | Figma,2024-11-01 21:51:36+00:00,13647,390,30,2024-11-01,00:00:00,2024,11,1,Nov,Other
KCFKPk9WJgw,"Github's Developer Workflow (Karan M.V., Sr Manager, DevRel)  | Figma",2024-10-29 20:29:25+00:00,5233,63,1,2024-10-29,00:00:00,2024,10,29,Oct,Design & Development
m4_KFckrW2c,Duplicate and Rotate (Making an Analog Clock Face) | Figma,2024-10-22 18:12:06+00:00,14234,489,16,2024-10-22,00:00:00,2024,10,22,Oct,Other
dZzUFZ9HREE,Release Notes 2024: September Edition | Figma,2024-10-04 23:44:20+00:00,22486,555,43,2024-10-04,00:00:00,2024,10,4,Oct,Other
3XIQZrrhx-I,Figma for Edu: Learning Auto Layout workshop,2024-10-01 22:54:56+00:00,37960,940,36,2024-10-01,00:00:00,2024,10,1,Oct,Education
8qsvvmzKLQA,RELEASE NOTES: Where we talk about new features and recap everything we shipped in Sept,2024-09-27 21:29:05+00:00,4270,0,4,2024-09-27,00:00:00,2024,9,27,Sep,Other
2Q2Ixhs-21Y,CSS color-mix() Plugin | Figma,2024-09-24 20:29:04+00:00,5100,231,12,2024-09-24,00:00:00,2024,9,24,Sep,Other
9ulHvwiwZaI,Inside the Minds: How Amtrak rethinks Experience Design with FigJam | Figma,2024-08-19 18:19:06+00:00,2469,32,2,2024-08-19,00:00:00,2024,8,19,Aug,Design & Development
SmarocuBv6c,How Spotify uses Code Connect to improve the design to code workflow | Figma,2024-07-25 02:58:52+00:00,5808,58,1,2024-07-25,00:00:00,2024,7,25,Jul,Design & Development
OiMs3k8rF1Y,Config APAC 2024: Blurring the line between designers and developers with Meng To,2024-07-23 18:34:44+00:00,2384,39,2,2024-07-23,00:00:00,2024,7,23,Jul,Design & Development
TSYfRzcRjpo,"Config APAC 2024: Designing from your soul with Feng Zhu (CEO, FZD School of Design) | Figma",2024-07-23 18:34:27+00:00,5961,333,9,2024-07-23,00:00:00,2024,7,23,Jul,Design & Development
VnvL8jpFra0,Config 2024: Strategic behaviors and mindsets of design executives | Figma,2024-07-22 19:07:13+00:00,3183,33,0,2024-07-22,00:00:00,2024,7,22,Jul,Design & Development
NibyIWzbua8,Quick start tips: Figma Slides — Part 1,2024-07-17 16:00:30+00:00,7121,245,1,2024-07-17,00:00:00,2024,7,17,Jul,Other
RvFSyxAWriw,"Config 2024: Drive design system adoption with Code Connect (Tom Lowry & Jake Albaugh, Figma)",2024-07-14 13:23:43+00:00,8354,95,3,2024-07-14,00:00:00,2024,7,14,Jul,Design & Development
vLM8bLwwhCY,Config APAC 2024: Live in Singapore,2024-07-10 08:55:22+00:00,12647,312,6,2024-07-10,00:00:00,2024,7,10,Jul,Other
uUwBdODvS5o,"Config 2024: The design renaissance (Reginé Gilbert, James Weldon Johnson, New York University)",2024-07-09 13:19:36+00:00,4682,103,3,2024-07-09,00:00:00,2024,7,9,Jul,Design & Development
tNGDgK0aMjA,"Config 2024: A modern definition of design craft (Ethan Eissman, SVP Design, Slack) | Figma",2024-07-08 23:48:25+00:00,4869,110,3,2024-07-08,00:00:00,2024,7,8,Jul,Design & Development
6r7-o1aYyxs,"Config 2024: Creating Figma plugins isn’t scary (Sara Vieira, Developer Relations Engineer, Orama)",2024-07-08 14:25:48+00:00,4312,81,4,2024-07-08,00:00:00,2024,7,8,Jul,Design & Development
zHy9vRjl134,Light Mode vs. Dark Mode at #ConfigAPAC,2024-07-06 00:55:31+00:00,18658,550,23,2024-07-06,00:00:00,2024,7,6,Jul,Other
Rcucf4LlQu0,Config 2024: Our digital product vision of augmented hospitality | Figma,2024-07-05 14:23:13+00:00,4687,43,2,2024-07-05,00:00:00,2024,7,5,Jul,Other
eOq1dgyPuHs,"Config 2024: Looking beyond screens (Imran Chaudhri & George Kedenburg III, Humane) | Figma",2024-07-05 02:50:03+00:00,9964,143,17,2024-07-05,00:00:00,2024,7,5,Jul,Other
-CYpixuRCgU,"Config 2024: How to build for, and with, Gen Z (Jiaona Zhang, CPO, Linktree) | Figma",2024-07-03 05:39:16+00:00,15289,466,18,2024-07-03,00:00:00,2024,7,3,Jul,Other
piRTrMcoIqA,"Config 2024: The value of opinions in design systems (Nate Baldwin, Senior Staff Designer, Adobe)",2024-06-30 04:48:04+00:00,9832,155,4,2024-06-30,00:00:00,2024,6,30,Jun,Design & Development
AM0ZzkLDsYw,"Config 2024: Hard truths about the future of product management (Claire Vo, CPO, LaunchDarkly)",2024-06-30 04:37:29+00:00,14393,214,12,2024-06-30,00:00:00,2024,6,30,Jun,Other
I4vvBidQcck,"Config 2024: The heirloom tomato org chart (Nan Yu, Head of Product, Linear) | Figma",2024-06-30 04:34:51+00:00,28679,644,16,2024-06-30,00:00:00,2024,6,30,Jun,Other
PEy2nmMgTRE,"Config 2024: Finding the right problem to solve, from Instagram to Artifact and beyond | Figma",2024-06-28 00:32:10+00:00,6769,81,3,2024-06-28,00:00:00,2024,6,28,Jun,Other
pswPT-iFHEE,Adjust your writing tone in Figma Slides,2024-06-27 21:10:30+00:00,41644,384,6,2024-06-27,00:00:00,2024,6,27,Jun,Other
xCJsRuH7v9w,Figma tutorial: Collaboration and handoff in Dev Mode,2024-06-26 17:02:20+00:00,46060,854,14,2024-06-26,00:00:00,2024,6,26,Jun,Design & Development
jWa-fR4Ip1s,Design with Soundharya: Product Designer at Figma #lofi #figma,2024-06-13 14:09:48+00:00,4805,131,6,2024-06-13,00:00:00,2024,6,13,Jun,Design & Development
yxqSEmTCVK0,How to get started with #FigJam AI #shorts,2024-05-08 14:00:50+00:00,5695,143,2,2024-05-08,00:00:00,2024,5,8,May,Other
W0ZzzmGPV-k,Figma Tip: Split tabs in Figma Desktop,2024-04-27 14:48:48+00:00,31849,668,43,2024-04-27,00:00:00,2024,4,27,Apr,Other
GEJ8hM3CWSo,Quick tip for creating string variables for typography in #figma #tips #shorts,2024-04-25 16:00:11+00:00,7724,248,0,2024-04-25,00:00:00,2024,4,25,Apr,Other
CilQQthtsjE,Framework: FAQs & Closing,2024-04-22 14:11:12+00:00,1824,19,4,2024-04-22,00:00:00,2024,4,22,Apr,Other
APNWWhXIg04,Figma tutorial: Variables for typography,2024-04-16 16:24:08+00:00,198584,3937,203,2024-04-16,00:00:00,2024,4,16,Apr,Other
OiyUVsylGL0,#Config2024 speaker drop. Config.Figma.com,2024-03-20 19:27:52+00:00,5560,221,0,2024-03-20,00:00:00,2024,3,20,Mar,Other
IqFEHOqf3_E,🇫🇷 In the file : Faire du Discovery avec Figma & Maze,2024-03-18 13:54:34+00:00,2331,26,3,2024-03-18,00:00:00,2024,3,18,Mar,Other
uHBrmPNQgPY,Multi-edit text editing,2024-03-06 16:52:17+00:00,23987,246,17,2024-03-06,00:00:00,2024,3,6,Mar,Other
0Czq3cVJXZs,Multi-edit: Applying transformations,2024-03-06 16:52:27+00:00,8664,196,2,2024-03-06,00:00:00,2024,3,6,Mar,Other
YUBuYU2zv4Q,Multi-edit introduction and overview,2024-03-06 16:51:12+00:00,106572,2533,132,2024-03-06,00:00:00,2024,3,6,Mar,Other
64Baf8B6sYg,Figma tutorial: Import to Figma design,2024-03-05 17:00:06+00:00,77236,195,3,2024-03-05,00:00:00,2024,3,5,Mar,Design & Development
NBvBUMXRoLo,British Airways: Increasing Design’s influence and impact,2024-02-27 17:30:03+00:00,1238,10,0,2024-02-27,00:00:00,2024,2,27,Feb,Design & Development
wukJ1MTRxgQ,Figma for Edu: Auto layout components,2024-02-27 16:40:40+00:00,47808,880,30,2024-02-27,00:00:00,2024,2,27,Feb,Education
SfSzxo3vqLo,"How does ""fun"" correlate with productivity?",2024-02-22 18:05:37+00:00,4126,63,0,2024-02-22,00:00:00,2024,2,22,Feb,Other
paLgXy4Hx30,My First Variable: Naming primitives,2024-02-15 18:13:49+00:00,8957,85,10,2024-02-15,00:00:00,2024,2,15,Feb,Other
alU3nAShLbo,Hall Pass: Making a color wheel and explaining hex codes in Figma,2024-01-16 20:04:26+00:00,8291,241,13,2024-01-16,00:00:00,2024,1,16,Jan,Other
0ioM6arfU-k,Figma for Edu: Variables and modes for layout in Figma,2024-01-02 15:14:04+00:00,45935,558,17,2024-01-02,00:00:00,2024,1,2,Jan,Education
KA2WwX7qlYA,Sync Variables to GitHub,2023-12-07 22:58:09+00:00,29063,281,23,2023-12-07,00:00:00,2023,12,7,Dec,Other
Zq4buLn8Gso,Building a slider component with auto layout,2023-12-07 19:53:25+00:00,20303,346,10,2023-12-07,00:00:00,2023,12,7,Dec,Other
